,Store,Location,Product,Price
443,khrisna computer,Semarang,Acer Swift Core i5 Nvidia MX,Rp6.500.000
444,Intech Nusa Solusi,Jakarta Pusat,Acer Swift 1 SF114-34-P008 Pentium N6000 4GB 512GB SSD W10HSL OHS 1YR,Rp6.500.000
445,Adji97 Shop,Bekasi,acer swift 3 2019,Rp6.500.000
446,IP STORE COMPUTER,Bandung,Acer Swift 3 Core i5 Gen 8/Ram 8GB/SSD 256GB+HDD 1TB/VGA MX150/Fullset,Rp6.500.000
447,Sukses laptop,Tangerang Selatan,"LAPTOP ACER SWIFT 1 SF114-34 - PENTIUM N6000 4GB 512GB 14"" FHD IPS W10",Rp6.500.000
448,chikowan shoop,Kab. Bekasi,laptop acer swift 3,Rp6.500.000
449,LUKNI STORE,Cimahi,acer swift 3 i7 8565u,Rp6.500.000
450,Murahkom Official,Surabaya,"ACER ASPIRE 5 A514-54-32LT INTEL i3-1115G4 RAM 4GB 256GB SSD 14,0"" FHD - 4GB+SSD 256GB",Rp6.254.000
451,Murahkom Official,Surabaya,"ACER ASPIRE 5 A514-54-30VD CORE i3-1115G4 4GB 512GB SSD 14""FHD IPS W10 - 4 gb",Rp6.521.000
452,KakiLima Comp,Kab. Tangerang,Laptop Infinix Inboox X1 Intel i5 Ram 8GB 512 GB SSD Windows 10 - UNIT ONLY,Rp6.833.000
453,Murahkom Official,Surabaya,LENOVO V14 G2 ITL CORE I3-1115G4 4GB 256GB SSD MX350 2GB FHD WIN11+OHS - 4GB+SSD 256GB,Rp6.873.000
454,Murahkom Official,Surabaya,"LENOVO IDEAPAD SLIM 1 14AMN7 RYZEN 3 7320U 8GB 256SSD WIN11+OHS 14""FHD",Rp6.925.000
455,irvanosaka 2nd store,Palembang,acer swift 3,Rp6.500.000
456,SNP COMPUTER,Bandung,acer swift 1 n6000 4gb 512gb,Rp6.500.000
457,dr.com komputer,Jakarta Barat,"Laptop Acer Swift 3 SF314-54G, Core i5-8250U, #DualVga, 4/1Tb, Mulus",Rp6.500.000
458,Gozarutech,Jakarta Barat,Laptop Acer Swift 3 SF314 i5 8250U 4Gb SSD 256 14inc FHD IPS Dual VGA,Rp6.500.000
459,Zackhell,Jakarta Utara,Laptop Acer Swift 3 SF314-41 - ATHLON 300U/4GB-256GB SSD Win10 - Blue,Rp6.500.000
460,V2 ELECTRONIC,Jakarta Barat,Laptop Acer Swift SF314-54 Intel Core i3-7020U| 2GB Nvidia | 4GB | 1TB,Rp6.500.000
461,fao store,Kab. Mojokerto,laptop Acer swift 3 (sf314-54G),Rp6.500.000
462,HypEvira Store,Kab. Bogor,Acer Swift 3 SF314-41 Amd Ryzen 5 3500U,Rp6.500.000
463,LaptopBaru.,Surabaya,Acer Swift 1 SF114-34-P2UV,Rp6.500.000
464,VINACOM ELECTRONIC,Jakarta Barat,Laptop Acer Swift SF314-54 Intel Core i3-7020U| 2GB Nvidia | 4GB | 1TB,Rp6.500.000
465,permata_nb,Bandung,Laptop Acer Swift 3 Intel Core i5-8250U 8GB SSD 256GB + HDD 1TB MX150,Rp6.500.000
